Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",51,191,166,38,25,12,0,1,10,14,22,0,35,1,2,0,8,0,0,0.228915662,1744
2023,"David Peralta","LAD",14,44,43,7,3,2,0,2,4,7,0,0,12,0,1,0,0,0,0,0.162790697,2136
2023,"Adam Wainwright","STL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2233
2023,"Nelson Cruz","SDP",10,26,23,8,5,1,0,2,2,5,2,1,6,1,0,0,0,0,0,0.347826086,2434
2023,"Manny Pina","OAK",2,6,6,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.333333333,2829
2023,"Tommy Pham","NYM",16,53,47,11,6,4,1,0,5,8,6,1,15,0,0,0,1,5,0,0.234042553,2967
2023,"Eric Hosmer","CHC",17,57,53,15,11,3,0,1,6,9,4,0,11,0,0,0,3,0,0,0.283018867,3516
2023,"Michael Brantley","HOU",5,19,17,5,4,0,0,1,2,2,1,0,1,0,1,0,0,0,0,0.294117647,4106
2023,"Joey Votto","CIN",1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4314
2023,"Mike Moustakas","COL",5,21,17,6,5,0,0,1,3,2,3,0,5,1,0,0,0,0,0,0.352941176,4892
2023,"Jason Heyward","LAD",26,85,75,21,12,8,0,1,8,8,8,0,14,1,1,0,2,0,1,0.28,4940
2023,"Josh Donaldson","2 Tms",7,24,21,3,1,1,0,1,1,4,3,0,7,0,0,0,0,0,0,0.142857142,5038
2023,"Justin Turner","BOS",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5235
2023,"Robbie Grossman","TEX",28,108,90,18,8,7,0,3,16,9,16,0,24,2,0,0,2,0,0,0.2,5254
2023,"Aaron Hicks","2 Tms",19,69,62,15,12,1,0,2,8,8,7,0,12,0,0,0,1,0,0,0.241935483,5297
2023,"Brandon Crawford","SFG",23,92,80,15,9,2,1,3,7,12,10,0,25,0,2,0,3,2,0,0.1875,5343
2023,"Ji Man Choi","2 Tms",9,19,14,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,5452
2023,"Kyle Higashioka","NYY",1,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5517
2023,"Avisail Garcia","MIA",3,11,9,2,1,1,0,0,0,0,1,0,4,0,0,0,0,2,0,0.222222222,5760
2023,"Wilmer Flores","SFG",3,8,8,2,1,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0.25,5827
2023,"Jean Segura","MIA",25,97,91,20,17,1,0,2,10,7,6,0,16,0,0,0,2,2,1,0.219780219,5933
2023,"Eduardo Escobar","2 Tms",13,52,49,8,4,3,0,1,8,6,3,0,16,0,0,0,0,1,0,0.163265306,6153
2023,"J.D. Martinez","LAD",2,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,6184
2023,"Travis d'Arnaud","ATL",17,63,57,6,5,1,0,0,1,4,4,0,20,2,0,0,0,0,0,0.105263157,7739
2023,"Miguel Rojas","LAD",7,20,19,3,3,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0.157894736,7802
2023,"Charlie Blackmon","COL",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7859
2023,"Matt Carpenter","SDP",20,70,58,9,4,5,0,0,5,6,8,0,18,1,3,0,0,0,0,0.155172413,8090
2023,"Josh Harrison","PHI",13,42,39,8,6,1,0,1,2,3,1,0,8,2,0,0,0,0,0,0.205128205,8202
2023,"Ehire Adrianza","ATL",1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8418
2023,"Donovan Solano","MIN",10,29,26,5,4,1,0,0,1,3,1,0,8,2,0,0,0,0,0,0.192307692,8623
2023,"Elvis Andrus","CHW",18,67,61,13,10,2,0,1,5,4,6,0,13,0,0,0,2,1,1,0.213114754,8709
2023,"Starling Marte","NYM",2,4,4,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0.25,9241
2023,"AJ Pollock","SEA",13,43,40,7,3,3,0,1,3,1,3,0,16,0,0,0,0,0,0,0.175,9256
2023,"Evan Longoria","ARI",4,13,11,4,2,1,0,1,1,3,2,0,2,0,0,0,1,0,0,0.363636363,9368
2023,"Yan Gomes","CHC",14,50,45,12,10,1,0,1,4,11,2,0,10,1,2,0,1,0,0,0.266666666,9627
2023,"Christian Vazquez","MIN",21,73,69,12,10,0,0,2,8,3,4,0,12,0,0,0,4,0,0,0.173913043,9774
2023,"Andrew McCutchen","PIT",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9847
2023,"DJ LeMahieu","NYY",4,13,13,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.23076923,9874
2023,"Trayce Thompson","2 Tms",15,49,46,11,5,2,0,4,6,11,3,0,22,0,0,0,1,0,0,0.239130434,9952
2023,"Christian Bethancourt","TBR",13,51,50,12,8,3,0,1,8,6,0,0,16,0,1,0,1,0,0,0.24,10028
2023,"Chris Owings","PIT",1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10030
2023,"Wil Myers","CIN",8,31,29,3,1,1,0,1,1,2,2,0,12,0,0,0,1,1,0,0.103448275,10047
2023,"Billy Hamilton","CHW",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10199
