Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",9,24,22,5,3,0,0,2,3,7,2,0,5,0,0,0,1,0,0,0.227272727,1744
2023,"David Peralta","LAD",29,98,93,24,20,4,0,0,8,11,3,1,14,0,2,0,5,1,0,0.258064516,2136
2023,"Carlos Santana","PIT",1,4,4,3,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0.75,2396
2023,"Nelson Cruz","SDP",8,17,16,6,5,1,0,0,1,4,1,0,5,0,0,0,0,1,0,0.375,2434
2023,"Tommy Pham","2 Tms",16,42,39,13,9,3,0,1,4,4,3,0,11,0,0,0,0,3,0,0.333333333,2967
2023,"Eric Hosmer","CHC",1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.25,3516
2023,"Michael Brantley","HOU",1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4106
2023,"Joey Votto","CIN",16,49,41,8,5,1,0,2,5,3,7,0,12,1,0,0,0,0,0,0.195121951,4314
2023,"Mike Moustakas","2 Tms",33,102,89,24,14,5,0,5,16,11,11,1,26,1,1,0,1,0,0,0.269662921,4892
2023,"Jason Heyward","LAD",24,79,68,24,15,5,0,4,13,12,8,1,9,1,1,0,1,1,1,0.352941176,4940
2023,"Giancarlo Stanton","NYY",9,30,28,5,2,1,0,2,2,3,2,0,14,0,0,0,1,0,0,0.178571428,4949
2023,"Josh Donaldson","2 Tms",20,58,52,8,4,1,0,3,4,4,6,0,17,0,0,0,2,0,0,0.153846153,5038
2023,"Justin Turner","BOS",3,11,9,3,1,0,0,2,2,3,1,0,4,0,1,0,1,0,0,0.333333333,5235
2023,"Robbie Grossman","TEX",10,37,30,7,6,1,0,0,3,4,7,0,8,0,0,0,1,1,0,0.233333333,5254
2023,"Aaron Hicks","2 Tms",16,44,36,10,4,4,1,1,5,6,8,0,11,0,0,0,1,3,0,0.277777777,5297
2023,"Brandon Crawford","SFG",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5343
2023,"Ji Man Choi","2 Tms",11,34,32,4,1,1,0,2,2,3,1,0,9,1,0,0,1,0,0,0.125,5452
2023,"Abraham Almonte","NYM",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5486
2023,"Avisail Garcia","MIA",13,37,33,10,6,1,0,3,5,8,2,1,8,1,0,0,0,0,0,0.303030303,5760
2023,"Wilmer Flores","SFG",9,23,19,5,3,0,0,2,3,4,3,0,4,0,1,0,0,0,0,0.263157894,5827
