,playerId,Name,SB,AB_L,AVG_L,OBP_L,SLG_L,wRC+_L,wOBA_L,AB_R,AVG_R,OBP_R,SLG_R,wRC+_R,wOBA_R
0,1744,Miguel Cabrera,0,86,0.26744186,0.353535353,0.337209302,96.72060619242966,0.3115821005118013,248,0.254032258,0.309963099,0.358870967,84.82372847208265,0.2944179084908038
1,2396,Carlos Santana,6,139,0.26618705,0.354037267,0.45323741,118.0957275477122,0.349012842089493,411,0.231143552,0.305676855,0.420924574,94.86778990570006,0.3142796389140416
2,2967,Tommy Pham,22,155,0.24516129,0.322033898,0.464516129,111.49797591623722,0.3334389274770563,271,0.261992619,0.332236842,0.435424354,109.48103804612066,0.3313545914072739
3,3473,Anthony Rizzo,0,78,0.333333333,0.40229885,0.423076923,136.50175137337672,0.3655820201183187,295,0.220338983,0.308383233,0.366101694,89.99180193410221,0.2984799012407526
4,5235,Justin Turner,4,144,0.284722222,0.371951219,0.527777777,141.58018853511138,0.3848061874145415,414,0.272946859,0.335497835,0.42995169,104.81307194543793,0.3317605174465097
5,5254,Robbie Grossman,1,110,0.309090909,0.416058394,0.536363636,158.0646374972075,0.4031537209984159,243,0.205761316,0.303886925,0.329218106,75.12779180715452,0.283496784237164
6,5361,Freddie Freeman,23,197,0.33502538,0.399082568,0.609137055,173.50996945655436,0.4266181421389273,440,0.329545454,0.4140625,0.547727272,158.0694332715042,0.403585772395134
7,5417,Jose Altuve,14,99,0.282828282,0.371681415,0.474747474,136.17586372973045,0.3668555590958722,261,0.32183908,0.4006734,0.540229885,161.1654987300775,0.4029092955268192
8,5827,Wilmer Flores,0,165,0.303030303,0.361111111,0.527272727,141.9371441906615,0.377474715589811,240,0.270833333,0.351648351,0.495833333,132.3162482200543,0.363123398342412
9,6153,Eduardo Escobar,2,109,0.284403669,0.318965517,0.449541284,108.1711418315428,0.328580969366534,179,0.189944134,0.239583333,0.279329608,39.8939600653603,0.2297087541470925
10,6184,J.D. Martinez,1,117,0.273504273,0.343283582,0.581196581,142.87825383077532,0.3809253636159395,315,0.269841269,0.311953352,0.568253968,132.1097201237108,0.3648621358259774
11,6887,Martin Maldonado,0,88,0.238636363,0.31632653,0.5,122.56758201643868,0.3472222430365426,274,0.175182481,0.239057239,0.299270072,47.78376146921596,0.2393280638990177
12,7304,Salvador Perez,0,132,0.227272727,0.294520547,0.371212121,69.7905123679013,0.2783441526669982,406,0.263546798,0.291666666,0.438423645,91.59899231843514,0.3098082852197634
13,7802,Miguel Rojas,8,133,0.285714285,0.331034482,0.406015037,102.0938078799882,0.3200879401174085,252,0.21031746,0.268115942,0.277777777,51.93893168161537,0.2452728145796319
14,7859,Charlie Blackmon,4,87,0.298850574,0.403846153,0.436781609,118.40084701942834,0.3702612301478019,272,0.272058823,0.349514563,0.44117647,100.0370070816849,0.3428682208447008
