Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",6,16,16,8,7,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0.5,1744
2023,"David Peralta","LAD",6,25,20,5,3,2,0,0,4,3,4,0,5,0,1,0,0,1,0,0.25,2136
2023,"Carlos Santana","PIT",80,254,227,53,29,15,0,9,27,33,25,0,50,0,2,0,2,4,0,0.233480176,2396
2023,"Nelson Cruz","SDP",5,8,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.125,2434
2023,"Tommy Pham","NYM",5,10,9,3,2,0,0,1,1,3,0,0,3,0,1,0,0,0,0,0.333333333,2967
2023,"Anthony Rizzo","NYY",20,66,57,12,8,3,0,1,6,4,5,0,20,4,0,0,0,0,0,0.210526315,3473
2023,"Mike Moustakas","2 Tms",37,119,113,28,20,5,0,3,9,16,3,0,26,0,3,0,3,0,0,0.24778761,4892
2023,"Jason Heyward","LAD",4,10,8,2,2,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0.25,4940
2023,"Giancarlo Stanton","NYY",61,218,193,36,19,7,0,10,19,35,24,0,69,1,0,0,6,0,0,0.186528497,4949
2023,"Josh Donaldson","NYY",5,19,17,1,0,0,0,1,2,1,2,0,6,0,0,0,0,0,0,0.058823529,5038
2023,"Robbie Grossman","TEX",2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5254
2023,"Aaron Hicks","BAL",3,8,5,1,1,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0.2,5297
2023,"Ji Man Choi","PIT",8,22,21,6,2,2,0,2,4,3,1,0,6,0,0,0,0,0,0,0.285714285,5452
2023,"Kyle Higashioka","NYY",1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,5517
2023,"Avisail Garcia","MIA",4,12,11,1,1,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0.09090909,5760
2023,"Wilmer Flores","SFG",9,17,17,6,5,1,0,0,2,3,0,0,3,0,0,0,1,0,0,0.352941176,5827
2023,"Eduardo Escobar","LAA",3,6,6,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.166666666,6153
2023,"J.D. Martinez","LAD",43,125,113,27,14,4,1,8,16,28,8,0,44,1,3,0,2,0,0,0.238938053,6184
2023,"Salvador Perez","KCR",49,148,139,33,23,7,0,3,12,20,5,0,31,2,2,0,3,0,0,0.237410071,7304
2023,"Travis d'Arnaud","ATL",16,53,50,12,5,3,0,4,11,8,3,0,9,0,0,0,1,0,0,0.24,7739
2023,"Matt Carpenter","SDP",2,5,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,8090
2023,"Josh Harrison","PHI",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8202
2023,"Donovan Solano","MIN",8,26,23,7,2,5,0,0,1,3,2,0,7,1,0,0,0,0,0,0.304347826,8623
2023,"Elvis Andrus","CHW",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8709
2023,"Evan Longoria","ARI",5,19,16,1,1,0,0,0,0,1,2,0,5,0,1,0,1,0,0,0.0625,9368
2023,"Yan Gomes","CHC",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9627
2023,"Nolan Arenado","STL",109,389,358,99,65,19,1,14,46,59,26,2,70,1,4,0,11,2,2,0.276536312,9777
2023,"DJ LeMahieu","NYY",30,107,100,23,18,3,0,2,7,9,7,2,25,0,0,0,1,0,1,0.23,9874
2023,"Christian Bethancourt","TBR",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10028
2023,"Randal Grichuk","2 Tms",14,30,28,8,6,2,0,0,4,2,2,0,8,0,0,0,0,0,0,0.285714285,10243
2023,"Brandon Belt","TOR",15,60,49,16,8,5,0,3,5,6,11,1,23,0,0,0,1,0,0,0.326530612,10264
2023,"Marcell Ozuna","ATL",4,13,12,4,2,0,0,2,3,3,1,0,2,0,0,0,0,0,0,0.333333333,10324
2023,"Jon Singleton","2 Tms",2,5,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,10441
2023,"Enrique Hernandez","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10472
2023,"Carlos Perez","OAK",5,12,11,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,10642
