Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"David Peralta","LAD",3,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333,2136
2023,"Nelson Cruz","SDP",2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2434
2023,"Manny Pina","OAK",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829
2023,"Roberto Perez","SFG",3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2900
2023,"Tommy Pham","NYM",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2967
2023,"Mike Moustakas","2 Tms",2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,4892
2023,"Jason Heyward","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4940
2023,"Robbie Grossman","TEX",3,3,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5254
2023,"Sandy Leon","TEX",3,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5273
2023,"Aaron Hicks","NYY",7,16,13,4,3,1,0,0,3,1,3,0,2,0,0,0,0,0,0,0.307692307,5297
2023,"Brandon Crawford","SFG",11,24,22,5,4,0,0,1,5,5,1,0,6,0,0,1,0,0,0,0.227272727,5343
2023,"Kyle Higashioka","NYY",13,16,14,4,0,1,0,3,3,6,2,0,5,0,0,0,1,0,0,0.285714285,5517
2023,"Avisail Garcia","MIA",3,3,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.333333333,5760
2023,"Wilmer Flores","SFG",2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5827
2023,"Jean Segura","MIA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5933
2023,"Eduardo Escobar","2 Tms",4,8,8,4,4,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0.5,6153
2023,"Martin Maldonado","HOU",50,99,88,21,10,5,0,6,12,13,10,0,35,0,0,1,2,0,0,0.238636363,6887
2023,"Travis d'Arnaud","ATL",1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,7739
2023,"Miguel Rojas","LAD",37,60,54,18,14,1,0,3,12,10,4,0,6,1,1,0,1,0,0,0.333333333,7802
2023,"Josh Harrison","PHI",6,8,7,1,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0.142857142,8202
2023,"Ehire Adrianza","ATL",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8418
2023,"Donovan Solano","MIN",3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,8623
2023,"Elvis Andrus","CHW",22,37,31,8,5,3,0,0,2,8,4,1,9,0,1,1,0,1,0,0.258064516,8709
2023,"AJ Pollock","SEA",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9256
2023,"Evan Longoria","ARI",3,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333333333,9368
2023,"Yan Gomes","CHC",6,6,6,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,9627
2023,"Christian Vazquez","MIN",9,15,13,4,2,1,0,1,3,3,2,0,4,0,0,0,0,0,0,0.307692307,9774
2023,"DJ LeMahieu","NYY",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9874
2023,"Darin Ruf","SFG",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9929
2023,"Trayce Thompson","LAD",4,8,7,1,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0.142857142,9952
2023,"Christian Bethancourt","TBR",12,20,18,3,0,2,0,1,5,4,2,0,7,0,0,0,0,0,0,0.166666666,10028
2023,"Chris Owings","PIT",1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.25,10030
2023,"Tucker Barnhart","CHC",14,16,14,3,2,1,0,0,0,2,2,0,9,0,0,0,0,1,0,0.214285714,10200
2023,"Randal Grichuk","LAA",4,5,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0.25,10243
2023,"Rafael Ortega","NYM",8,10,8,1,0,1,0,0,1,0,1,0,3,0,0,1,0,0,0,0.125,10323
2023,"Enrique Hernandez","2 Tms",12,14,13,1,0,0,0,1,2,4,0,0,1,0,1,0,1,0,0,0.076923076,10472
2023,"Carlos Perez","OAK",2,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10642
2023,"Gio Urshela","LAA",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10681
2023,"Kevin Kiermaier","TOR",49,84,77,20,15,4,0,1,6,5,4,0,18,2,0,1,3,2,1,0.259740259,11038
