Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"David Peralta","LAD",24,60,56,17,11,5,0,1,9,11,4,0,4,0,0,0,1,1,0,0.303571428,2136
2023,"Nelson Cruz","SDP",2,3,3,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0.333333333,2434
2023,"Tommy Pham","NYM",5,14,13,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.076923076,2967
2023,"Eric Hosmer","CHC",3,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3516
2023,"Michael Brantley","HOU",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106
2023,"Mike Moustakas","COL",4,5,4,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0.25,4892
2023,"Jason Heyward","LAD",9,25,22,5,1,1,0,3,6,5,2,0,7,0,1,0,0,0,0,0.227272727,4940
2023,"Robbie Grossman","TEX",14,40,35,11,7,3,1,0,6,5,4,0,9,0,1,0,0,0,0,0.314285714,5254
2023,"Sandy Leon","TEX",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5273
2023,"Aaron Hicks","2 Tms",6,14,14,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0.142857142,5297
2023,"Brandon Crawford","SFG",36,103,87,15,11,4,0,0,10,7,11,1,24,3,2,0,1,0,0,0.172413793,5343
2023,"Ji Man Choi","2 Tms",3,3,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,5452
2023,"Kyle Higashioka","NYY",36,97,91,18,13,3,0,2,8,14,6,0,27,0,0,0,3,0,0,0.197802197,5517
2023,"Avisail Garcia","MIA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5760
2023,"Wilmer Flores","SFG",6,6,3,1,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0.333333333,5827
2023,"Jean Segura","MIA",3,12,12,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.166666666,5933
2023,"Eduardo Escobar","2 Tms",26,65,60,11,7,1,1,2,10,4,3,0,20,0,1,1,1,1,1,0.183333333,6153
2023,"Martin Maldonado","HOU",1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333,6887
2023,"Travis d'Arnaud","ATL",1,3,3,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0.666666666,7739
2023,"Miguel Rojas","LAD",33,88,77,17,12,5,0,0,8,2,10,0,10,1,0,0,1,3,0,0.22077922,7802
2023,"Charlie Blackmon","COL",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7859
2023,"Matt Carpenter","SDP",12,27,20,3,3,0,0,0,0,1,7,0,5,0,0,0,0,0,0,0.15,8090
2023,"Josh Harrison","PHI",2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8202
2023,"Ehire Adrianza","ATL",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8418
2023,"Donovan Solano","MIN",9,18,16,5,5,0,0,0,2,3,2,0,2,0,0,0,1,0,0,0.3125,8623
2023,"Elvis Andrus","CHW",26,83,76,20,13,4,0,3,10,12,4,0,8,3,0,0,2,4,0,0.263157894,8709
2023,"AJ Pollock","SEA",14,23,22,2,2,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0.09090909,9256
2023,"Evan Longoria","ARI",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9368
2023,"Yan Gomes","CHC",46,155,142,37,29,7,0,1,12,18,7,0,36,4,2,0,4,0,0,0.26056338,9627
2023,"Christian Vazquez","MIN",51,163,148,32,23,9,0,0,14,14,13,1,40,1,0,1,6,0,0,0.216216216,9774
2023,"Andrew McCutchen","PIT",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9847
2023,"Darin Ruf","MIL",1,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9929
